material,drug,y,weight
BC3,flutamide,0.72,1
BC3,nitrosourea,0.8729,1
Biphenylene,cisplatin,0.46,1
BN,valine,6.93676,1
BN,arginine,7.62992,1
BN,aspartic_acid,6.84861,1
BN,gemcitabine,0.15,1
BN,ciclopirox,0.853,1
BN,nitrosourea,0.49,1
BNNT,fluorouracil,0.13,1
BNNT,azacitidine,0.66,1
graphene,favipiravir,0.68,1
graphene,valine,3.86097,1
graphene,arginine,4.171,1
graphene,aspartic_acid,3.76938,1
graphene,zidovudine,0.12,1
graphene,gemcitabine,1.5,1
Graphyne,doxorubicin,1.57,1
Graphyne,daunorubicin,0.35,1
Twin-Gr,fluorouracil,0.43,1
Twin-Gr,gemcitabine,0.58,1
Twin-Gr,cyclophosphamide,0.6,1
Twin-Gr,mercaptopurine,0.61,1
molybdenum_disulfide,isoniazid,0.74,1
molybdenum_disulfide,pyrazinamide,0.65,1
phosphorene,carvedilol,0.59,1
phosphorene,zidovudine,0.2,1
phosphorene,fluorouracil,0.80152,1
phosphorene,felodipine,2.12,1
phosphorene,Ifosfamide,0.16,1
phosphorene,thioguanine,0.79,1
phosphorene,isoniazid,0.65,1
phosphorene,pyrazinamide,0.55,1
silicene,anastrozole,1.37,1
silicene,melphalan,0.67,1
antimonene,carmustine,1.18,1
antimonene,lomustine,0.63,1
antimonene,nitrosourea,1.14,1
GaNNS,ciclopirox,1.397,1
GaNNS,fluorouracil,0.842,1
GaNNS,nitrosourea,0.79,1
graphene,flutamide,0.62,1
BN,flutamide,0.45,1
Graphsene,mercaptopurine,1.4557,1
Graphsene,hydroxyurea,0.3347,1
